
360,44.875 ,-nan 
361,45 ,-nan 
362,45.125 ,-nan 
363,45.25 ,-nan 
364,45.375 ,-nan 
365,45.5 ,-nan 
366,45.625 ,-nan 
367,45.75 ,-nan 
368,45.875 ,-nan 
369,46 ,-nan 
370,46.125 ,-nan 
371,46.25 ,-nan 
372,46.375 ,-nan 
373,46.5 ,-nan 
374,46.625 ,-nan 
375,46.75 ,-nan 
376,46.875 ,-nan 
377,47 ,-nan 
378,47.125 ,-nan 
379,47.25 ,-nan 
380,47.375 ,-nan 
381,47.5 ,-nan 
382,47.625 ,-nan 
383,47.75 ,-nan 
384,47.875 ,-nan 
385,48 ,-nan 
386,48.125 ,-nan 
387,48.25 ,-nan 
388,48.375 ,-nan 
389,48.5 ,-nan 
390,48.625 ,-nan 
391,48.75 ,-nan 
392,48.875 ,-nan 
393,49 ,-nan 
394,49.125 ,-nan 
395,49.25 ,-nan 
396,49.375 ,-nan 
397,49.5 ,-nan 
398,49.625 ,-nan 
399,49.75 ,-nan 
400,49.875 ,-nan 
